source_id,target_id,distance
5,44,305.780306
5,45,327.443791
5,46,329.233573
5,47,377.285979
5,48,415.877462
5,49,461.008487
5,50,556.175365
5,51,462.757119
5,52,453.527163
5,53,424.530778
5,54,393.273904
5,55,409.843510
5,56,402.350212
5,57,417.194866
5,58,443.902382
5,59,502.911227
5,60,572.721282
5,61,520.987361
5,62,520.588615
5,63,466.873671
5,64,454.553356
5,65,478.055343
5,66,476.910463
5,67,507.052388
5,68,552.457165
5,69,574.966363
5,70,627.252326
5,71,596.535033
5,72,588.360274
5,73,561.627994
5,74,559.670609
5,75,537.508758
5,76,560.066883
5,77,593.422198
5,78,603.907563
5,79,661.023434
5,80,692.484891
5,81,666.123704
5,82,650.354635
5,83,647.887623
5,84,626.864329
5,85,639.687329
5,86,617.521575
5,87,665.168575
5,88,704.636682
5,89,720.770506
5,90,773.859661
5,91,710.587300
5,92,723.678520
5,93,700.901677
5,94,713.874824
5,95,703.605092
5,96,717.439056
5,97,745.997702
5,98,744.373498
5,99,797.034086
6,7,78.273179
6,8,134.420399
6,9,231.796290
6,10,436.863087
6,11,392.009544
6,12,297.166383
6,13,234.029149
6,14,141.167708
6,15,117.122428
6,16,93.754914
6,17,128.176380
6,18,158.077099
6,19,230.076840
6,20,452.120940
6,21,399.244793
6,22,326.200334
6,23,246.125347
6,24,174.213590
6,25,140.920077
6,26,139.805009
6,27,177.611916
6,28,208.157808
6,29,267.966856
6,30,478.652595
6,31,413.298906
6,32,331.309657
6,33,306.477848
6,34,230.935746
6,35,237.976059
6,36,201.438517
6,37,232.137613
6,38,263.991841
6,39,334.086201
6,40,499.322784
6,41,437.482755
6,42,384.075965
6,43,350.337345
6,44,294.442060
6,45,301.451480
6,46,280.271776
6,47,322.769369
6,48,352.007542
6,49,394.388095
6,50,579.464158
6,51,481.281002
6,52,459.436676
6,53,415.536838
6,54,375.821082
6,55,380.692060
6,56,360.461422
6,57,365.542667
6,58,384.856800
6,59,438.194167
6,60,588.789878
6,61,530.986700
6,62,517.870260
6,63,457.692711
6,64,437.052948
6,65,446.654745
6,66,435.401722
6,67,453.390505
6,68,496.466222
6,69,510.962161
6,70,638.146837
6,71,597.115560
6,72,579.693195
6,73,550.051927
6,74,535.000820
6,75,501.702916
6,76,519.686027
6,77,544.277565
6,78,547.829704
6,79,602.145823
6,80,700.616083
6,81,665.573776
6,82,641.031695
6,83,630.655872
6,84,599.210156
6,85,606.234462
6,86,574.715182
6,87,615.330241
6,88,649.534501
6,89,662.891188
6,90,776.419131
6,91,705.026708
6,92,709.304966
6,93,680.217427
6,94,684.720520
6,95,670.863504
6,96,676.365298
6,97,697.875255
6,98,690.839861
6,99,739.580812
7,8,57.591669
7,9,153.530575
7,10,515.009731
7,11,469.999582
7,12,375.029613
7,13,311.521210
7,14,213.490960
7,15,185.160328
7,16,105.704673
7,17,91.576508
7,18,92.077695
7,19,163.148814
7,20,529.336940
7,21,475.445847
7,22,401.480994
7,23,317.512673
7,24,238.132016
7,25,189.423884
7,26,169.251115
7,27,156.323127
7,28,163.038589
7,29,206.682851
7,30,553.053289
7,31,485.357880
7,32,401.420280
7,33,370.863895
7,34,283.704771
7,35,278.627040
7,36,214.664904
7,37,224.589568
7,38,226.063080
7,39,287.354384
7,40,568.922610
7,41,503.255237
7,42,445.617127
7,43,406.258651
7,44,340.863803
7,45,333.814404
7,46,284.615163
7,47,315.523653
7,48,324.336073
7,49,358.398288
7,50,644.992906
7,51,544.814465
7,52,514.904831
7,53,460.083297
7,54,413.779069
7,55,406.410312
7,56,371.184401
7,57,361.439516
7,58,366.711350
7,59,406.226322
7,60,649.790274
7,61,588.423974
7,62,565.809844
7,63,501.169026
7,64,473.309573
7,65,467.884720
7,66,444.210411
7,67,443.303005
7,68,481.383155
7,69,479.433428
7,70,695.223963
7,71,646.752025
7,72,621.681230
7,73,589.802919
7,74,561.931977
7,75,516.361325
7,76,528.085651
7,77,539.676814
7,78,531.699617
7,79,580.099905
7,80,755.216307
7,81,713.622703
